File Path,Has Title,Has Meta Description,Has H1
./articles/michal-oliver-banned-from-reffing-arsenal-games-01-27-2025.html,Yes,Yes,Yes
./articles/new-champions-league-pot-format-09-29-2024.html,Yes,Yes,Yes
./articles/new-premier-league-christmas-and-holiday-fixtures-10-19-2024.html,Yes,Yes,Yes
./articles/nottingham-forest-rises-to-an-incredible-third-in-the-epl-standings-01-06-2025.html,Yes,Yes,Yes
./articles/paul-pogbas-ban-reduced-10-05-2024.html,Yes,Yes,Yes
./articles/premier-league-2025-26-season-preview-05-22-25.html,Yes,Yes,Yes
./articles/premier-league-2025-26-season-preview-07-23-2025.html,Yes,Yes,Yes
./articles/premier-league-end-of-season-summary-05-20-25.html,Yes,Yes,Yes
./articles/Premier-League-Final-Day-Drama-05-24-25.html,Yes,Yes,Yes
./articles/Premier-league-gameweek-5-preview-09-19-2024.html,Yes,Yes,Yes
./articles/premier-league-injuries-october-10-13-2024.html,Yes,Yes,Yes
./articles/premier-league-matchweek-1-highlights-2024-8-22.html,Yes,Yes,Yes
./articles/premier-league-new-summer-transfer-rumours-05-20-25.html,Yes,Yes,Yes
./articles/premier-league-rising-stars-2024-09-15.html,Yes,Yes,Yes
./articles/premier-league-transfer-window-latest-rumors-07-20-2025.html,Yes,Yes,Yes
./articles/real-madrids-new-galacticos-09-29-2024.html,Yes,Yes,Yes
./articles/september-2024-soccer-news-and-epl-standings-2024-09-06.html,Yes,Yes,Yes
./articles/soccer-summer-series-preseason-2025-08-12-2025.html,Yes,Yes,Yes
./articles/the-rise-of-egypts-new-mohamed-salah-10-13-2024.html,Yes,Yes,Yes
./articles/uefa-champions-league-latest-news-09-18-2024.html,Yes,Yes,Yes
./articles/victor-gyokeres-premier-league-giants-in-hot-pursuit-05-25-25.html,Yes,Yes,Yes
./articles/west-ham-united's-kick-off-tactics-10-08-2024.html,Yes,Yes,Yes
./articles/who-will-replace-rodri-at-man-city-09-28-2024.html,Yes,Yes,Yes
./articles/why-erling-haaland-is-unstopable-in-2024-2025-season-09-17-2024.html,Yes,Yes,Yes
./article-template.html,Yes,Yes,Yes
./budget-optimizer.html,Yes,Yes,Yes
./buy-me-a-coffee.html,Yes,Yes,Yes
./create-account.html,Yes,Yes,Yes
./enhanced-homepage.html,Yes,Yes,Yes
./enhanced-homepage-v2.html,Yes,Yes,Yes
./epl_fixtures.html,Yes,Yes,Yes
./epl-latest-matchweek-4-news-2024-09-15.html,Yes,Yes,Yes
./epl-table.html,Yes,Yes,Yes
./ezoic-integration.html,No,No,No
./fantasy.html,Yes,Yes,Yes
./fixture-analyzer-pro.html,Yes,Yes,Yes
./fixture-tracker.html,Yes,No,Yes
./fixture-tracker-pro.html,Yes,No,Yes
./footer.html,No,No,No
./fpl_24_25.html,Yes,Yes,Yes
./fpl-ai-assistant.html,Yes,Yes,Yes
./fpl.html,Yes,Yes,Yes
./fpl-premium-hub.html,Yes,Yes,Yes
./fpl-premium-hub-stats.html,No,No,No
./google-signin-test.html,Yes,No,Yes
./header.html,No,No,Yes
./in-article-promo.html,No,No,No
./index.html,Yes,Yes,No
./index-original.html,Yes,Yes,No
./index-react.html,Yes,Yes,No
./ios/App/App/public/index.html,Yes,Yes,No
./latest_transfer_news_and_rumours_june_7th_2024.html,Yes,Yes,Yes
./latest_transfer_news_august_2024.html,Yes,Yes,Yes
./main_headline2.html,No,No,Yes
./main_headline.html,No,No,Yes
./manage-subscription.html,Yes,No,Yes
./mbappe_to__real_madrid.html,Yes,No,Yes
./membership.html,Yes,Yes,Yes
./membership-success.html,Yes,No,Yes
./messi_ties_for_second_most_international_goals.html,Yes,No,Yes
./mobile.html,Yes,Yes,No
./news.html,Yes,Yes,Yes
./newsletter-cta.html,No,No,No
./newsletter-template.html,Yes,No,No
./player-data-enhanced.html,Yes,No,Yes
./player-data.html,Yes,No,Yes
./player-predictor.html,Yes,Yes,Yes
./players_to_watch_euro_2024.html,Yes,Yes,Yes
./polls.html,Yes,Yes,Yes
./premier-league-fantasy.html,Yes,Yes,Yes
./premier_league_guide.html,Yes,Yes,Yes
./Premier-League-Summer-Moves-05-21-25.html,Yes,Yes,Yes
./premier_league_winners.html,Yes,Yes,Yes
./premium-access-test.html,Yes,No,Yes
./premium-cta.html,No,No,No
./premium-fpl-fixture-stats.html,No,No,No
./premium.html,Yes,Yes,Yes
./premium-test.html,Yes,No,Yes
./private_policy.html,No,No,No
./promo-components.html,No,No,No
./push-notification-manager.html,Yes,No,Yes
./push-test.html,Yes,No,Yes
./recommended-articles-1.html,No,No,Yes
./show-epl-fixtures.html,No,No,No
./signin.html,Yes,Yes,Yes
./simple-newsletter.html,Yes,No,Yes
./social.html,Yes,Yes,Yes
./social-media.html,Yes,Yes,Yes
./src/index.html,Yes,Yes,No
./stats-for-transfer-hub.html,No,No,No
./stats.html,Yes,Yes,Yes
./team-analyzer.html,Yes,Yes,Yes
./template.html,Yes,Yes,No
./test-mobile-detection.html,Yes,No,Yes
./test-notifications.html,Yes,No,Yes
./test-popup.html,Yes,No,Yes
./test-working-notifications.html,Yes,No,Yes
./top-nav.html,No,No,No
./top-scorers.html,No,No,No
./transfer-hub.html,Yes,Yes,Yes
./transfer-simulator.html,Yes,Yes,Yes
./transfer-simulator-pro.html,Yes,Yes,Yes
./unsubscribe.html,Yes,No,Yes
